Year,Charcoal_A,Charcoal_D,Landfill_C,Landfill_A,Landfill_DC
0,9555851.0,9565.0,30083546.0,28128936.0,1954610.0
1,18955583.0,18975.0,71934003.0,96686043.0,3376896.0
2,27847605.0,27875.0,108452134.0,201172585.0,3965592.0
3,37072286.0,37109.0,140407370.0,334762940.0,6817015.0
4,45940455.0,45986.0,171320953.0,493144793.0,12939099.0
5,55626239.0,55682.0,205903381.0,676249230.0,22798945.0
6,65744997.0,65811.0,243503468.0,883321302.0,36431396.0
7,77103449.0,77181.0,283824801.0,1113192144.0,53953959.0
8,87945860.0,88034.0,323561579.0,1361096513.0,75657210.0
9,99524684.0,99624.0,364462091.0,1623477302.0,102081302.0
10,111658636.0,111770.0,402797472.0,1892710306.0,133564467.0
11,123475858.0,123599.0,380333902.0,1949440062.0,323604146.0
12,134503210.0,134638.0,392054414.0,2170165103.0,171329373.0
13,145490434.0,145636.0,401049217.0,2367778324.0,203435995.0
14,156571814.0,156729.0,408473416.0,2537994117.0,238257623.0
15,167132543.0,167300.0,422819706.0,2692486408.0,268327415.0
16,178053153.0,178231.0,430385291.0,2827794403.0,295077296.0
17,188586709.0,188775.0,436270465.0,2944850265.0,319214603.0
18,199283226.0,199483.0,435941422.0,3042823074.0,337968614.0
19,209665302.0,209875.0,435883627.0,3123960661.0,354746040.0
20,220314423.0,220535.0,428106820.0,3184985005.0,367082476.0
21,230633544.0,230864.0,412810142.0,3211602846.0,386192302.0
22,240341355.0,240582.0,404674338.0,3242827862.0,373449322.0
23,251394081.0,251646.0,397334658.0,3257290410.0,382872109.0
24,261777431.0,262039.0,390792398.0,3257529191.0,390553617.0
25,270980781.0,271252.0,382971680.0,3246313556.0,394187316.0
26,281054427.0,281336.0,370945740.0,3224694657.0,392564639.0
27,290838765.0,291130.0,362355784.0,3191087751.0,395962690.0
28,300233520.0,300534.0,356956471.0,3151235048.0,396809174.0
29,310083134.0,310394.0,346997346.0,3110369289.0,387863105.0
30,320565852.0,320887.0,335046120.0,3065845087.0,379570322.0
31,331306137.0,331638.0,328843895.0,3017244459.0,377444522.0
32,341906052.0,342248.0,322275939.0,2971035148.0,368485250.0
33,353015575.0,353369.0,317023910.0,2927416903.0,360642156.0
34,362687205.0,363050.0,315116683.0,2888094526.0,354439059.0
35,372885182.0,373258.0,309589727.0,2856236521.0,341447732.0
36,384484751.0,384870.0,307308734.0,2808558823.0,354986432.0
37,394589004.0,394984.0,312418753.0,2786694814.0,334282761.0
38,404457320.0,404862.0,316189255.0,2778378821.0,324505248.0
39,413998326.0,414413.0,320402498.0,2781605204.0,317176116.0
40,423861517.0,424286.0,323526282.0,2795970798.0,309160688.0
41,432723657.0,433157.0,336484595.0,2807968635.0,324486758.0
42,442751440.0,443195.0,340403854.0,2848408052.0,299964437.0
43,452624640.0,453078.0,345748928.0,2896034807.0,298122173.0
44,462553651.0,463017.0,354359132.0,2951701486.0,298692453.0
45,472824644.0,473298.0,366592641.0,3017672383.0,300621744.0
46,482823034.0,483306.0,375579840.0,3096299474.0,296952749.0
47,491557055.0,492049.0,398842459.0,3182968898.0,312173035.0
48,502044487.0,502547.0,418221883.0,3289974644.0,311216137.0
49,512473853.0,512987.0,433972177.0,3412157511.0,311789310.0
50,525012751.0,525538.0,452983093.0,3544850490.0,320290114.0
51,535516686.0,536053.0,467504757.0,3689366631.0,322988616.0
52,547171058.0,547719.0,479341951.0,3839501138.0,329207443.0
53,558722424.0,559282.0,490667830.0,3991440341.0,338728627.0
54,570293324.0,570864.0,508222341.0,4143186972.0,356475710.0
55,583474380.0,584058.0,516211915.0,4299727993.0,359670895.0
56,596296454.0,596893.0,541874925.0,4451321989.0,390280928.0
57,606337941.0,606945.0,541506335.0,4614501592.0,378326731.0
58,619213755.0,619834.0,558231519.0,4763198240.0,409534872.0
59,632244014.0,632877.0,571126249.0,4914224482.0,420100007.0
60,645257594.0,645903.0,574521034.0,5063137879.0,425607637.0
61,657866582.0,658525.0,576181063.0,5200894488.0,438424455.0
62,670954855.0,671626.0,595567590.0,5326068093.0,470393985.0
63,685414208.0,686100.0,608815116.0,5456583985.0,478299223.0
64,700128266.0,700829.0,630970126.0,5586613723.0,500940389.0
65,711663597.0,712376.0,628612773.0,5725164422.0,490062074.0
66,728588893.0,729318.0,658332544.0,5848413486.0,535083479.0
67,745902483.0,746649.0,678287319.0,5988288134.0,538412671.0
68,764410056.0,765175.0,706572861.0,6134855824.0,560005171.0
69,779953414.0,780734.0,733242527.0,6297765021.0,570333331.0
70,797736635.0,798535.0,755354117.0,6475139992.0,577979146.0
71,816381106.0,817198.0,781896720.0,6661478467.0,595558246.0
72,835564011.0,836400.0,795880651.0,6860089534.0,597269584.0
73,854565962.0,855421.0,815455795.0,7056944303.0,618601027.0
74,875197246.0,876073.0,829771498.0,7255603221.0,631112579.0
75,895605983.0,896502.0,860205577.0,7449413758.0,666395040.0
76,915448733.0,916365.0,888765325.0,7653417710.0,684761373.0
77,936975386.0,937913.0,896336064.0,7864567423.0,685186351.0
78,957430350.0,958389.0,929460584.0,8062311627.0,731716380.0
79,975286680.0,976263.0,940437030.0,8269830355.0,732918302.0
80,996925574.0,997923.0,948303949.0,8466184758.0,751949546.0
81,1019290224.0,1020311.0,961157230.0,8649429954.0,777912035.0
82,1039564384.0,1040605.0,959194871.0,8824825765.0,783799061.0
83,1059634296.0,1060695.0,980589267.0,8978383968.0,827031063.0
84,1077334612.0,1078413.0,988940637.0,9135274705.0,832049900.0
85,1102102055.0,1103205.0,982011649.0,9283810333.0,833476022.0
86,1125265542.0,1126392.0,995793450.0,9410510109.0,869093673.0
87,1149223384.0,1150374.0,997456909.0,9535283262.0,872683756.0
88,1173681097.0,1174856.0,1018124003.0,9649394646.0,904012619.0
89,1200516747.0,1201718.0,1023402138.0,9772869924.0,899926860.0
90,1227395664.0,1228624.0,1035867182.0,9891903678.0,916833428.0
91,1255635045.0,1256892.0,1034876866.0,10015146515.0,911634030.0
92,1282646632.0,1283931.0,1051543695.0,10128513601.0,938176608.0
93,1309878898.0,1311190.0,1045284958.0,10251120653.0,922677906.0
94,1338245126.0,1339585.0,1072169558.0,10361247781.0,962042430.0
95,1368258392.0,1369628.0,1092251864.0,10492230825.0,961268820.0
96,1398163080.0,1399563.0,1118222986.0,10637676749.0,972777062.0
97,1429482249.0,1430913.0,1149782152.0,10804537417.0,982921484.0
98,1457274043.0,1458733.0,1136324384.0,10997623486.0,943238315.0
99,1484976493.0,1486463.0,1158557010.0,11171768618.0,984411878.0
100,1512606233.0,1514120.0,1173286554.0,11361222488.0,983832684.0
101,1541343077.0,1542886.0,1194783891.0,11555963073.0,1000043306.0
102,1567520028.0,1569089.0,1183661773.0,11761352754.0,978272092.0
103,1594406722.0,1596003.0,1216057560.0,11943431319.0,1033978995.0
104,1618728423.0,1620349.0,1219090576.0,12142586206.0,1019935689.0
105,1648424339.0,1650074.0,1246009375.0,12329882957.0,1058712625.0
106,1685285485.0,1686972.0,1225475126.0,12529035888.0,1026322195.0
107,1717454567.0,1719174.0,1190077347.0,12692550857.0,1026562378.0
108,1756974903.0,1758734.0,1188471936.0,12806917852.0,1074104942.0
109,1796534319.0,1798333.0,1203545839.0,12905953460.0,1104510231.0
110,1825139601.0,1826967.0,1204341460.0,13009276932.0,1101017988.0
111,1851600935.0,1853454.0,1217986919.0,13105785225.0,1121478626.0
112,1880968427.0,1882851.0,1224871588.0,13210287899.0,1120368914.0
113,1913079669.0,1914995.0,1232816380.0,13316817994.0,1126286285.0
114,1945984801.0,1947933.0,1235891749.0,13427384598.0,1125325145.0
115,1969543929.0,1971515.0,1231381969.0,13537092281.0,1121674287.0
116,1994827936.0,1996825.0,1221997472.0,13641092041.0,1117997711.0
117,2018617316.0,2020638.0,1214606273.0,13734725438.0,1120972877.0
118,2037015600.0,2039055.0,1229666380.0,13820526848.0,1143864970.0
