Year,Harveted_Timber,Biomass,Pulpwood,Sawlog
1901,1304078438,195611765.6,717243140.6,391223531.8
1902,1304078438,195611765.6,717243140.6,391223531.8
1903,1304078438,195611765.6,717243140.6,391223531.8
1904,1247379375,187106906.3,686058656.3,374213812.4
1905,1219029844,182854476.6,670466414.1,365708953.3
1906,1304078438,195611765.6,717243140.6,391223531.8
1907,1417476563,212621484.4,779612109.4,425242969.2
1908,1530874688,229631203.1,841981078.1,459262406.8
1909,1587573750,238136062.5,873165562.5,476272125
1910,1644272813,246640921.9,904350046.9,493281844.2
1911,1644272813,246640921.9,904350046.9,493281844.2
1912,1632933000,244939950,898113150,489879900
1913,1615923281,242388492.2,888757804.7,484776984.1
1914,1587573750,238136062.5,873165562.5,476272125
1915,1559224219,233883632.8,857573320.3,467767265.9
1916,1587573750,238136062.5,873165562.5,476272125
1917,1644272813,246640921.9,904350046.9,493281844.2
1918,1576233938,236435090.6,866928665.6,472870181.8
1919,1530874688,229631203.1,841981078.1,459262406.8
1920,1474175625,221126343.8,810796593.8,442252687.4
1921,1360777500,224116625,748427625,388233250
1922,1190680313,228602046.9,654874171.9,307204094.2
1923,1133981250,220097187.5,623689687.5,290194375
1924,1190680313,228602046.9,654874171.9,307204094.2
1925,1162330781,224349617.2,639281929.7,298699234.1
1926,1133981250,200097187.5,623689687.5,310194375
1927,1105631719,225844757.8,608097445.3,271689515.9
1928,1099961813,204994271.9,604978996.9,289988544.2
1929,1105631719,205844757.8,608097445.3,291689515.9
1930,1077282188,221592328.1,592505203.1,263184656.8
1931,1020583125,233087468.8,561320718.8,226174937.4
1932,963884062.5,224582609.4,530136234.4,209165218.7
1933,907185000,226077750,498951750,182155500
1934,850485937.5,237572890.6,467767265.6,145145781.3
1935,861825750,209273862.5,474004162.5,178547725
1936,878835468.8,231825320.3,483359507.8,163650640.7
1937,907185000,256077750,498951750,152155500
1938,963884062.5,224582609.4,530136234.4,209165218.7
1939,1020583125,223087468.8,561320718.8,236174937.4
1940,1077282188,211592328.1,592505203.1,273184656.8
1941,1099961813,214994271.9,604978996.9,279988544.2
1942,1150990969,192648645.3,633045032.8,325297290.9
1943,1162330781,214349617.2,639281929.7,308699234.1
1944,1133981250,210097187.5,623689687.5,300194375
1945,1122641438,228396215.6,617452790.6,276792431.8
1946,1190680313,218602046.9,654874171.9,317204094.2
1947,1162330781,214349617.2,639281929.7,308699234.1
1948,1360777500,204116625,748427625,408233250
1949,1474175625,221126343.8,810796593.8,442252687.4
1950,1587573750,238136062.5,873165562.5,476272125
1951,1769944741,284318536.8,977344970.3,508281233.9
