Year,Biochar,Biochar_E,IFuelwood_E,IFuelwood_Char,RFuelwood_E,RFuelwood_Char,Paper_C,Paper_A,Paper_D,Paper_R,Paper_L,BC_C,BC_A,BC_D,BC_R,BC_L,EC_C,EC_A,EC_L,HA_C,HA_A,HA_D,HA_R,HA_L
1901,0.0,0.0,118020402.0,3650116.0,68025947.0,5915300.0,365794001.0,335217769.0,31150474.0,1559939.0,29590535.0,65674913.0,65577557.0,100774.0,0.0,100774.0,44149356.0,43945920.0,211571.0,62314084.0,62140380.0,180666.0,0.0,180666.0
1902,0.0,0.0,120866554.0,3738141.0,65326505.0,5680566.0,375118162.0,647283656.0,64172307.0,6253974.0,57918333.0,75930941.0,141291616.0,224450.0,3889.0,220561.0,49161219.0,92660582.0,464231.0,63868807.0,125643229.0,380495.0,8791.0,371703.0
1903,0.0,0.0,130543468.0,4037427.0,56148401.0,4882470.0,385159566.0,935016650.0,99058194.0,12825334.0,86232861.0,66522125.0,207482824.0,342381.0,9404.0,332978.0,46996860.0,138958295.0,726511.0,75050758.0,200089145.0,628673.0,23022.0,605650.0
1904,0.0,0.0,110711157.0,3424056.0,67133958.0,5837735.0,374588026.0,1177701456.0,133973181.0,20589899.0,113383282.0,70185088.0,277209594.0,474086.0,16431.0,457656.0,50823684.0,188792874.0,1027397.0,61233355.0,260498331.0,856309.0,39570.0,816739.0
1905,0.0,0.0,110855527.0,3428521.0,63084795.0,5485634.0,371438393.0,1382186431.0,169396214.0,29333589.0,140062624.0,62216601.0,338843524.0,602562.0,24245.0,578318.0,42879009.0,230407185.0,1313036.0,68616142.0,328033459.0,1122769.0,60234.0,1062535.0
1906,0.0,0.0,114605021.0,3544485.0,71265278.0,6196981.0,401656158.0,1578610032.0,208031082.0,39413919.0,168617162.0,74655784.0,412765453.0,758738.0,33987.0,724751.0,52960941.0,281760951.0,1667920.0,59779347.0,386479988.0,1383746.0,82645.0,1301102.0
1907,0.0,0.0,132407903.0,4095090.0,70029012.0,6089479.0,440480842.0,1771669812.0,250564554.0,50982511.0,199582043.0,80149863.0,492011975.0,933762.0,45425.0,888337.0,57093053.0,336860090.0,2068438.0,70700896.0,455547143.0,1695558.0,109980.0,1585577.0
1908,0.0,0.0,134536330.0,4160917.0,83659240.0,7274716.0,479087233.0,1957283165.0,296943348.0,64067289.0,232876059.0,95351877.0,586257222.0,1143671.0,59455.0,1084216.0,54808559.0,389270523.0,2486670.0,73959618.0,527540850.0,2039562.0,141372.0,1898190.0
1909,0.0,0.0,157536531.0,4872264.0,69669087.0,6058181.0,500323867.0,2115711030.0,345637564.0,78354581.0,267282983.0,101075465.0,686000817.0,1376168.0,75594.0,1300574.0,56362954.0,442795514.0,2941449.0,75458650.0,600673162.0,2412605.0,176701.0,2235904.0
1910,0.0,0.0,156224826.0,4831696.0,78737648.0,6846752.0,521809976.0,2244924049.0,396551895.0,93806726.0,302745169.0,102955105.0,787381266.0,1626681.0,93639.0,1533042.0,64724219.0,504173090.0,3467256.0,72548934.0,670517787.0,2803505.0,215177.0,2588328.0
1911,0.0,0.0,145219709.0,4491331.0,89175491.0,7754391.0,524523026.0,2325560107.0,447962526.0,109988516.0,337974010.0,102248140.0,887797304.0,1892201.0,113432.0,1778768.0,57764598.0,558079690.0,3995189.0,84655057.0,752030543.0,3256401.0,260284.0,2996117.0
1912,0.0,0.0,148494845.0,4592624.0,84504283.0,7348198.0,523599967.0,2339635278.0,418445774.0,106187194.0,312258580.0,87426194.0,973139512.0,2151780.0,133674.0,2018106.0,55660866.0,609347310.0,4547273.0,94994571.0,843385716.0,3770274.0,312293.0,3457981.0
1913,0.0,0.0,159644332.0,4937454.0,71582170.0,6224536.0,519923315.0,2418851919.0,432829908.0,113130464.0,319699444.0,80770900.0,1051568779.0,2417135.0,154996.0,2262140.0,61933870.0,666289701.0,5164106.0,72536211.0,911813956.0,4253907.0,363702.0,3890205.0
1914,0.0,0.0,153609668.0,4750814.0,73393535.0,6382046.0,513421350.0,2480818959.0,446082627.0,119748220.0,326334407.0,90699378.0,1139638514.0,2713716.0,179041.0,2534675.0,53496771.0,714197997.0,5778805.0,62982226.0,970215722.0,4741031.0,417062.0,4323969.0
1915,0.0,0.0,144968092.0,4483549.0,77677432.0,6754559.0,505968259.0,2523256441.0,459946764.0,126507020.0,333439744.0,90785274.0,1227488612.0,3028205.0,205013.0,2823192.0,53777264.0,761752726.0,6431162.0,77159146.0,1042252747.0,5299482.0,478375.0,4821107.0
1916,0.0,0.0,161463395.0,4993713.0,65944639.0,5734316.0,516914012.0,2544928279.0,473520725.0,133173453.0,340347273.0,63841242.0,1288110916.0,3319910.0,230119.0,3089792.0,51395657.0,806265819.0,7109569.0,73366863.0,1109932374.0,5881631.0,543578.0,5338053.0
1917,0.0,0.0,167469186.0,5179459.0,68072895.0,5919382.0,537183927.0,2564230004.0,485032086.0,139239897.0,345792190.0,82393335.0,1366957954.0,3656492.0,258991.0,3397501.0,63435577.0,862066260.0,7883196.0,86013555.0,1189623836.0,6535565.0,617222.0,5918343.0
1918,0.0,0.0,158934032.0,4915486.0,66778727.0,5806846.0,516689485.0,2592098585.0,494451876.0,144669012.0,349782865.0,88467505.0,1451524106.0,4021458.0,290588.0,3730870.0,50851400.0,904545455.0,8639554.0,64961014.0,1247647955.0,7167804.0,690587.0,6477217.0
1919,0.0,0.0,145005216.0,4484697.0,73729987.0,6411303.0,503504685.0,2593279696.0,498257522.0,148384943.0,349872578.0,83382883.0,1530638035.0,4399099.0,323822.0,4075277.0,59151960.0,954511058.0,9474902.0,71481438.0,1311524276.0,7854743.0,770927.0,7083816.0
1920,0.0,0.0,137704220.0,4258893.0,72830173.0,6333058.0,486477957.0,2579382934.0,498765711.0,151012058.0,347753653.0,73165521.0,1599161812.0,4781780.0,358123.0,4423657.0,44275123.0,988811543.0,10282060.0,72285760.0,1375496633.0,8582414.0,857021.0,7725394.0
1921,0.0,0.0,136957670.0,4235804.0,76289299.0,6633852.0,449805002.0,2550174743.0,495583599.0,152392227.0,343191372.0,69754197.0,1663886514.0,5179597.0,394235.0,4785362.0,38559774.0,1016596834.0,11099942.0,56296927.0,1422777293.0,9303441.0,944151.0,8359290.0
1922,0.0,0.0,150120678.0,4642908.0,67931384.0,5907077.0,394889126.0,2490599779.0,488817873.0,152518990.0,336298883.0,54874187.0,1713345153.0,5575287.0,430836.0,5144450.0,43998222.0,1048959526.0,11980118.0,46742332.0,1459790515.0,10033805.0,1033831.0,8999975.0
1923,0.0,0.0,148592013.0,4595629.0,61556781.0,5352764.0,377332261.0,2387336474.0,477137713.0,150935984.0,326201729.0,45766719.0,1753304300.0,5976769.0,468503.0,5508266.0,35813885.0,1072276221.0,12859492.0,37689285.0,1487027819.0,10773512.0,1126010.0,9647503.0
1924,0.0,0.0,135485575.0,4190276.0,81812100.0,7114096.0,396853748.0,2279360466.0,463983371.0,148696319.0,315287052.0,50866362.0,1797944412.0,6405437.0,508921.0,5896517.0,36834262.0,1095711536.0,13779090.0,56070891.0,1531838791.0,11600566.0,1228907.0,10371658.0
1925,0.0,0.0,141670053.0,4381548.0,72034175.0,6263841.0,388044132.0,2202008593.0,452892328.0,146942889.0,305949439.0,47548826.0,1838833063.0,6849454.0,551189.0,6298266.0,33316524.0,1114707954.0,14717324.0,46081824.0,1565842160.0,12437415.0,1334483.0,11102931.0
